medio,titulo,url
El País,El Gobierno exigirá el reintegro de los fondos europeos sin utilizar o mal justificados,https://elpais.com/economia/2026-02-03/el-gobierno-exigira-el-reintegro-de-los-fondos-europeos-sin-utilizar-o-mal-justificados.html
El País,"El año arranca con una fuerte destrucción de 270.782 empleos, el peor enero desde 2012",https://elpais.com/economia/2026-02-03/el-ano-arranca-con-una-fuerte-destruccion-de-270782-empleos-el-peor-enero-desde-2012.html
El País,Madrid lidera la brecha por barrios en el precio del metro cuadrado en España con 19.500 euros,https://elpais.com/economia/vivienda/2026-02-03/madrid-lidera-la-brecha-en-el-precio-del-metro-cuadrado-en-espana-con-19500-euros.html
El País,Los jubilados que compatibilizan salario y pensión tras cumplir la edad de jubilación crecieron un 9% en 2025,https://elpais.com/economia/2026-02-03/los-jubilados-que-compatibilizan-salario-y-pension-tras-cumplir-la-edad-de-jubilacion-crecieron-un-9-en-2025.html
El País,El Gobierno nombrará una veintena de altos cargos en empresas y reguladores antes del verano,https://elpais.com/economia/2026-02-03/el-gobierno-nombrara-20-altos-cargos-en-empresas-controladas-por-el-estado-y-reguladores-antes-del-verano.html
El País,Vivienda ya ha solicitado la retirada de más de 86.000 anuncios de pisos turísticos sin número de registro oficial,https://elpais.com/economia/vivienda/2026-02-02/vivienda-ya-ha-solicitado-la-retirada-de-mas-de-86000-anuncios-de-pisos-turisticos-sin-numero-de-registro-oficial.html
El País,"Elon Musk fusiona SpaceX y xAI con una valoración de 1,25 billones de dólares antes de su salida a Bolsa",https://elpais.com/economia/2026-02-02/elon-musk-fusiona-spacex-y-xai-antes-de-la-esperada-salida-a-bolsa-de-su-grupo-espacial.html
El País,La producción de oro se estanca pese a la arrolladora demanda de los inversores,https://elpais.com/economia/2026-02-02/la-produccion-de-oro-se-estanca-pese-a-la-arrolladora-demanda-de-los-inversores.html
El País,Hacienda elevará la deducción fiscal para que los perceptores del nuevo salario mínimo sigan sin tributar,https://elpais.com/economia/2026-02-02/hacienda-elevara-la-deduccion-fiscal-para-que-los-perceptores-del-nuevo-salario-minimo-sigan-sin-tributar.html
El País,Los expertos de Trabajo piden que los empleados ocupen hasta la mitad de los sillones de los consejos de administración,https://elpais.com/economia/2026-02-02/los-expertos-de-trabajo-piden-que-los-empleados-ocupen-hasta-la-mitad-de-los-sillones-de-los-consejos-de-administracion.html
El País,El veto a los pisos turísticos en Madrid y Barcelona no convence a inquilinos y caseros,https://elpais.com/economia/2026-02-02/el-veto-a-los-pisos-turisticos-en-madrid-y-barcelona-no-convence-a-inquilinos-y-caseros.html
El País,El crédito a las familias registra la mayor subida desde 2008,https://elpais.com/economia/2026-02-02/el-credito-a-las-familias-registra-la-mayor-subida-desde-2008.html
El País,Giro sindical: salarios y vivienda,https://elpais.com/economia/2026-02-02/giro-sindical-salarios-y-vivienda.html
El País,Consumo fuerza la retirada de más de un centenar de anuncios turísticos en territorios palestinos ocupados,https://elpais.com/economia/2026-02-02/consumo-fuerza-la-retirada-de-mas-de-un-centenar-de-anuncios-turisticos-en-territorios-palestinos-ocupados.html
El País,"La ocupación en apartamentos, casas rurales y campings tocó máximos en 2025 por los altos precios de los hoteles",https://elpais.com/economia/2026-02-02/la-ocupacion-en-apartamentos-casas-rurales-y-campings-toco-maximos-en-2025-por-los-altos-precios-de-los-hoteles.html
El País,La estafa que apela al sentimiento más universal,https://elpais.com/tecnologia/branded/ocurrio-en-internet/2026-02-02/la-estafa-que-apela-al-sentimiento-mas-universal.html
El País,Una ciberestafa muy común en las empresas,https://elpais.com/tecnologia/branded/ocurrio-en-internet/2026-01-12/una-ciberestafa-muy-comun-en-las-empresas.html
El País,Micromovilidad que impulsa macrocambios,https://elpais.com/economia/branded/el-poder-de-las-empresas/2026-01-28/micromovilidad-que-impulsa-macrocambios.html
El País,Las fórmulas que están reinventando la restauración española,https://elpais.com/economia/branded/el-poder-de-las-empresas/2026-01-14/las-formulas-que-estan-reinventando-la-restauracion-espanola.html
El País,"Videopódcast | La CEO de Carrefour España se sincera: ""En mi carrera como directiva me ha ayudado el hecho de ser mujer""",https://elpais.com/publi-especial/el-retail-del-futuro/
El País,‘Kilómetros de sueños’ para mantener viva la ilusión,https://elpais.com/economia/branded/la-ocasion-lo-merece/2025-11-24/kilometros-de-suenos-para-mantener-viva-la-ilusion.html
El País,La ocasión llega al vehículo eléctrico,https://elpais.com/economia/branded/la-ocasion-lo-merece/2025-09-23/la-ocasion-llega-al-vehiculo-electrico.html
El País,Así impacta la tecnología sanitaria en la economía… más allá de la salud,https://elpais.com/economia/2025-12-29/asi-impacta-la-tecnologia-sanitaria-en-la-economia-mas-alla-de-la-salud.html
El País,"Espacios donde trabajar, reunirse y hacer comunidad",https://elpais.com/economia/2025-12-22/espacios-donde-trabajar-reunirse-y-hacer-comunidad.html
