Fecha,Hora,Divisa,Evento,Impacto,Actual,Prevision,Anterior,Total_divisa
2020-01-31,00:30,JPY,IPC subyacente de Tokio (Anual) (Ene),2,"0,7%","0,8%","0,8%",3
2020-01-31,00:50,JPY,Producción industrial (Mensual) (Dic),2,"1,3%","0,7%","-1,0%",3
2020-01-31,01:30,AUD,IPP (Anual) (4T),2,"1,4%","1,4%","1,6%",3
2020-01-31,01:30,AUD,IPP (Trimestral) (4T),2,"0,3%","0,3%","0,4%",3
2020-01-31,02:00,CNY,PMI compuesto chino (Ene),2,"53,0","53,4","53,4",2
2020-01-31,02:00,CNY,PMI no manufacturero (Ene),2,"54,1",,"53,5",2
2020-01-31,07:30,EUR,PIB de Francia (Trimestral) (4T),2,"-0,1%","0,2%","-0,1%",12
2020-01-31,08:00,EUR,Ventas minoristas de Alemania (Mensual) (Dic),2,"-3,3%","-0,5%","1,6%",12
2020-01-31,08:45,EUR,PIB de Francia (Anual),2,"0,8%",,"1,4%",12
2020-01-31,08:45,EUR,IPC armonizado de Francia (Mensual),2,"-0,5%",,"0,5%",12
2020-01-31,08:45,EUR,Gasto del consumidor de Francia (Mensual) (Dic),2,"-0,3%","-0,1%","0,7%",12
2020-01-31,08:45,EUR,IPC de Francia (Mensual),2,"-0,4%",,"0,4%",12
2020-01-31,09:00,EUR,IPC armonizado de España (Anual) (Ene),2,"1,1%","1,0%","0,8%",12
2020-01-31,09:00,EUR,IPC armonizado de España (Mensual),2,"-1,4%",,"-0,1%",12
2020-01-31,11:00,EUR,IPC subyacente en la zona euro (Anual),2,"1,1%","1,2%","1,3%",12
2020-01-31,11:00,EUR,PIB en la zona euro (Trimestral) (4T),2,"0,1%","0,2%","0,2%",12
2020-01-31,11:00,EUR,PIB en la zona euro (Anual) (4T),2,"1,0%","1,1%","1,2%",12
2020-01-31,13:00,BRL,Tasa de desempleo,2,"11,0%","10,8%","11,2%",2
2020-01-31,14:30,USD,Índice de Precios del Gasto en Consumo Personal (PCE) (Mensual) (Dic),2,"0,3%",,"0,1%",15
2020-01-31,14:30,USD,Índice de precios PCE (Anual) (Dic),2,"1,6%",,"1,4%",15
2020-01-31,14:30,USD,Gasto personal (Mensual) (Dic),2,"0,3%","0,3%","0,4%",15
2020-01-31,14:30,CAD,PIB (Mensual) (Nov),2,"0,1%","0,1%","-0,1%",2
2020-01-31,14:30,CAD,Índice de precios de materias primas (Mensual) (Dic),2,"2,8%","-0,1%","1,4%",2
2020-01-31,14:30,USD,Índice de costes laborales (Trimestral) (4T),2,"0,7%","0,7%","0,7%",15
2020-01-31,15:45,USD,PMI de Chicago (Ene),2,"42,9","48,8","48,2",15
2020-01-31,16:00,USD,Expectativas de inflación de la Universidad de Michigan (Ene),2,"2,5%",,"2,3%",15
2020-01-31,16:00,USD,Expectativas del consumidor de la Universidad de Michigan (Ene),2,"90,5",,"88,9",15
2020-01-31,16:00,USD,Confianza del consumidor de la Universidad de Michigan (Ene),2,"99,8","99,1","99,3",15
2020-01-31,16:00,USD,Previsiones de inflación a 5 años de la Universidad de Michigan (Ene),2,"2,5%",,"2,2%",15
2020-01-31,19:00,USD,Recuento de yacimientos activos en EE.UU. de Baker Hughes,2,790,,794,15
2020-01-31,19:00,USD,"Número de plataformas petrolíferas, Baker Hughes",2,675,,676,15
2020-01-31,20:30,USD,Posiciones netas especulativas en el Nasdaq 100 de la CFTC,2,"24,4K",,"9,0K",15
2020-01-31,20:30,USD,Posiciones netas especulativas en el S&P 500 de la CFTC,2,"16,8K",,"4,6K",15
2020-01-31,20:30,JPY,Posiciones netas especulativas en el JPY de la CFTC,2,"-36,0K",,"-44,7K",3
2020-01-31,20:30,USD,Posiciones netas especulativas en el oro de la CFTC,2,"330,1K",,"317,7K",15
2020-01-31,20:30,EUR,Posiciones netas especulativas en el EUR de la CFTC,2,"-58,9K",,"-47,0K",12
2020-01-31,20:30,BRL,Posiciones netas especulativas del BRL en la CFTC,2,"-23,6K",,"-21,3K",2
2020-01-31,20:30,AUD,Posiciones netas especulativas en el AUD de la CFTC,2,"-27,5K",,"-19,3K",3
2020-01-31,20:30,GBP,Posiciones netas especulativas en el GBP de la CFTC,2,"17,7K",,"24,9K",1
2020-01-31,20:30,USD,Posiciones netas especulativas en el petróleo de la CFTC,2,"461,8K",,"520,6K",15
